x,y,area,mounded,volume,moud_vol,elev
588897.87,4070637.2,7950,,4003.25, , 
588939.95,4097878.3,8025,50,6325,115.9425,2.32
588971.27,4071111.4,16150,,, , 
588981.67,4110905.9,68375,475,,768.05,1.62
589025.91,4053070.9,159950,4675,,10367.5,2.22
589079.95,4064628.3,35850,800,,2066.05,2.58
589104.68,4099780.2,225850,18850,863900,204670,10.9
589122.82,4095859.9,143375,5650,,27430,4.85
589129.95,4076853.3,7900,,4727.5, , 
589168.76,4068317,81200,1550,24434.75,2530.25,1.63
589189.54,4079409.3,13300,,6248.5, , 
589216.25,4122970.8,114350,,345550, , 
589219.95,4120223.3,18475,75,29417.5,669.325,8.92
589223.13,4064629.2,34275,1225,8856.75,3774,3.08
589255.73,4120390.8,57850,4125,147120,38555,9.35
589313.25,4058941.4,118525,5050,,18048.75,3.57
589376.68,4111681,285175,13900,,64480,4.64
589462.23,4106933.2,25475,2075,17931.5,5256.25,2.53
589468,4122711,49775,,98307.5, , 
589515.61,4067717.9,589000,78000,426075,189757.5,2.43
589517.3,4064417.9,30100,3800,25547.5,6880.25,1.81
589551.33,4059692.9,68450,26000,95257.5,87355,3.34
589571.56,4123174.3,345300,14000,143055,217710,15.6
589598.89,4063574.7,23475,675,22753.25,1318.875,1.95
589656.73,4123934.6,62250,,, , 
589737.1,4071166.1,13125,,3571.25, , 
589741.93,4112556.1,75100,30500,157770,117392.5,3.85
589771.54,4071732.9,33950,,, , 
589815.46,4055380.5,61000,1025,11229.5,1871.925,1.83
589828.75,4057503,94275,1225,,3472.75,2.83
589836.14,4068760.3,22075,250,8203.5,347.55,1.39
589841.66,4063877.1,24550,25,2166.75,61.2825,2.45
589921.69,4072226.6,35000,4050,27935,8814.25,2.18
589956.13,4069388,82725,20000,107160,75600,3.78
589958.39,4103333.1,49975,5075,,11022.25,2.17
589971.6,4064642.4,39400,,1887.15, , 
589979.9,4069803.1,289775,70500,281950,220182.5,3.12
590014.95,4120493.3,79150,,, , 
590028.34,4097993.3,223225,,, , 
590035.34,4104829.8,17525,100,5101.75,219.9375,2.2
590054.93,4059836.1,29775,275,,1015.325,3.69
590089.63,4065045.5,52550,,, , 
590105.75,4117445.1,789875,,, , 
590157.76,4020398.4,167450,1175,140745,3954.5,3.37
590164.72,4118625.7,283225,5775,274375,71267.5,12.3
590171.59,4059365.2,47075,,1307.475, , 
590179.28,4120596.1,103125,,, , 
590194.95,4119528.3,2000,,5474, , 
590202.54,4078208.1,218975,,, , 
590204.81,4119381.6,159750,350,415325,5142.5,14.7
590212.25,4063937.2,161900,15550,109847.5,41522.5,2.67
590215.55,4074718.3,55650,4625,22221,8442.25,1.83
590218.73,4068679.1,43075,1050,,2198.85,2.09
590236.1,4059529.3,41375,25,6642.75,38.045,1.52
590257.03,4119873.7,630275,19850,,322975,16.3
590282.37,4112330.4,76325,7650,60150,18375.25,2.4
590324.95,4060048.3,1125,,, , 
590339.97,4073114,50325,2975,18444.25,8334.5,2.8
590379.95,4076933.3,8025,,, , 
590554.32,4110242.9,173725,29750,121357.5,72530,2.43
590562.9,4072481.3,43000,,, , 
590580.93,4063524.6,5325,975,5832.25,1563.425,1.6
590613.56,4073613.9,71525,38500,346850,283175,7.34
